DATE,SIM,OBS
17/01/2009,2347.8751,6732.8
18/01/2009,2337.45371,6704.3
19/01/2009,2328.53232,6676
20/01/2009,2321.41093,6619.6
21/01/2009,2316.28954,6563.5
22/01/2009,2312.86815,6507.8
23/01/2009,2310.94676,6480.1
24/01/2009,2310.32538,6452.4
25/01/2009,2310.60399,6424.9
26/01/2009,2311.7826,6397.4
27/01/2009,2315.96121,6397.4
28/01/2009,2338.63982,6370.1
29/01/2009,2434.11843,6342.8
30/01/2009,2699.49704,6315.6
31/01/2009,3190.57565,6288.5
01/02/2009,3811.95426,6234.5
02/02/2009,4357.33287,6234.5
03/02/2009,4666.61148,6207.7
04/02/2009,4701.99009,6207.7
05/02/2009,4523.1687,6207.7
06/02/2009,4229.11438,6207.7
07/02/2009,3940.40923,6207.7
08/02/2009,3785.00407,6207.7
09/02/2009,3621.09892,6180.9
10/02/2009,3380.99377,6180.9
11/02/2009,3179.78862,6154.2
12/02/2009,3030.78346,6127.6
13/02/2009,2893.37831,6074.7
14/02/2009,2796.87316,6022.1
15/02/2009,2726.768,5969.9
16/02/2009,2673.26285,5917.9
17/02/2009,2631.6577,5866.4
18/02/2009,2599.65255,5840.7
19/02/2009,2575.74739,5815.1
20/02/2009,2558.94224,5789.6
21/02/2009,2548.13709,5764.2
22/02/2009,2542.03194,5713.6
23/02/2009,2540.02678,5663.4
24/02/2009,2542.52163,5638.4
25/02/2009,2553.81648,5613.5
26/02/2009,2598.13208,5588.6
27/02/2009,2687.28006,5563.9
28/02/2009,2858.32803,5539.2
01/03/2009,3172.17601,5539.2
02/03/2009,3692.42399,5638.4
03/03/2009,4408.37197,5688.5
04/03/2009,5170.51994,5764.2
05/03/2009,5779.76792,5815.1
06/03/2009,6114.7159,6022.1
07/03/2009,6166.46388,6288.5
08/03/2009,5988.11185,6563.5
09/03/2009,5652.95983,6647.7
10/03/2009,5245.80781,6676
11/03/2009,4845.55579,6591.5
12/03/2009,4467.90376,6480.1
13/03/2009,4155.65174,6424.9
14/03/2009,3913.59972,6370.1
15/03/2009,3732.4477,6288.5
16/03/2009,3604.69567,6234.5
17/03/2009,3526.84365,6234.5
18/03/2009,3505.68719,6261.5
19/03/2009,3524.27411,6370.1
20/03/2009,3556.56103,6424.9
21/03/2009,3584.04795,6480.1
22/03/2009,3593.73487,6507.8
23/03/2009,3592.02179,6507.8
24/03/2009,3613.20871,6452.4
25/03/2009,3639.59563,6397.4
26/03/2009,3624.98255,6342.8
27/03/2009,3594.96947,6315.6
28/03/2009,3581.95638,6315.6
29/03/2009,3590.3433,6288.5
30/03/2009,3625.83022,6288.5
31/03/2009,3697.21714,6288.5
01/04/2009,3793.80406,6261.5
02/04/2009,3941.69098,6261.5
03/04/2009,4255.8779,6397.4
04/04/2009,4870.56482,6704.3
05/04/2009,5797.85174,6732.8
06/04/2009,6921.33866,6704.3
07/04/2009,8086.82558,6704.3
08/04/2009,8976.8125,6732.8
09/04/2009,9475.89942,6992.7
10/04/2009,9654.58634,7350.7
11/04/2009,9869.82449,7628.1
12/04/2009,10377.99116,7753.8
13/04/2009,11061.05782,7565.8
14/04/2009,11608.42449,7565.8
15/04/2009,12055.99116,7690.8
16/04/2009,12272.25782,8009.9
17/04/2009,12179.92449,8173.1
18/04/2009,11775.19116,8507
19/04/2009,11122.75782,8746.6
20/04/2009,10354.62449,8955.9
21/04/2009,9705.39116,9204.9
22/04/2009,9586.45782,9133.2
23/04/2009,10071.92449,8781.2
24/04/2009,10824.1631,8885.7
25/04/2009,11365.34986,9204.9
26/04/2009,11548.63661,9982.5
27/04/2009,11496.02337,10687.1
28/04/2009,11632.21013,10687.1
29/04/2009,11826.49689,10330.3
30/04/2009,11909.18365,10369.5
01/05/2009,12045.17041,11052.9
02/05/2009,12440.35717,11260.1
03/05/2009,13165.74393,11301.9
04/05/2009,13883.83069,11260.1
05/05/2009,14503.81744,11135.4
06/05/2009,15018.7042,10929.9
07/05/2009,15397.29096,10889.2
08/05/2009,15447.67772,10808
09/05/2009,15311.66448,10767.6
10/05/2009,14866.25124,10647
11/05/2009,14353.938,10767.6
12/05/2009,14068.72476,11218.4
13/05/2009,14315.81151,11512.5
14/05/2009,15280.69827,11597.6
15/05/2009,16540.28503,11769.1
16/05/2009,17587.77179,12250.6
17/05/2009,18650.05855,12519.3
18/05/2009,19411.49527,12884.4
19/05/2009,19651.25611,12655.3
20/05/2009,19428.31694,11855.6
21/05/2009,18973.37777,11683.1
22/05/2009,18364.13861,11512.5
23/05/2009,17588.29944,11343.8
24/05/2009,16772.96027,11052.9
25/05/2009,16014.2211,11052.9
26/05/2009,15363.48194,10970.8
27/05/2009,15249.24277,11470.2
28/05/2009,15974.2036,16315.5
29/05/2009,18044.36444,19240.4
30/05/2009,22015.72527,18027.4
31/05/2009,26941.8861,16759.6
01/06/2009,30549.64693,16481
02/06/2009,31146.10777,16481
03/06/2009,28838.75714,16985.1
04/06/2009,26224.91921,16928.5
05/06/2009,24615.48128,16425.7
06/06/2009,23877.04335,16151.2
07/06/2009,23711.80542,16042.4
08/06/2009,23851.16749,16042.4
09/06/2009,24401.42956,15880.2
10/06/2009,25451.79163,15880.2
11/06/2009,26709.15369,15506.4
12/06/2009,27804.31576,15453.5
13/06/2009,28947.27783,15612.5
14/06/2009,30451.4399,15880.2
15/06/2009,32315.90197,16815.8
16/06/2009,34365.06404,17558.4
17/06/2009,35694.12373,19054.7
18/06/2009,35425.55906,20060.8
19/06/2009,33688.19438,20318.3
20/06/2009,31034.72971,19427.5
21/06/2009,28402.16504,18385.1
22/06/2009,26079.30037,18146
23/06/2009,24158.53569,17500.4
24/06/2009,22676.17102,17850.4
25/06/2009,21548.70635,18265.3
26/06/2009,20713.44168,18687.3
27/06/2009,20083.777,18146
28/06/2009,19700.11233,18027.4
29/06/2009,19765.34766,19932.9
30/06/2009,20499.68299,21507.9
01/07/2009,21941.31832,22468.3
02/07/2009,23911.55364,26238.2
03/07/2009,26804.48897,29338.5
04/07/2009,31158.6243,32611
05/07/2009,36190.28088,38390.5
06/07/2009,40034.79716,41414.8
07/07/2009,42100.71344,43645.6
08/07/2009,42826.72972,42359.1
09/07/2009,42776.946,38390.5
10/07/2009,41975.46228,35359.6
11/07/2009,40905.77856,34202.1
12/07/2009,39768.89484,33822.7
13/07/2009,38737.61112,33540.1
14/07/2009,38105.3274,33073.1
15/07/2009,37606.74368,32795.2
16/07/2009,36774.65996,32062.7
17/07/2009,35864.77624,31164.3
18/07/2009,34834.79252,30024.4
19/07/2009,33906.4088,29000
20/07/2009,33308.72508,27674.7
21/07/2009,32881.34136,26160.1
22/07/2009,32333.35764,25617.9
23/07/2009,32018.67392,25235.8
24/07/2009,31912.8902,24633.2
25/07/2009,31789.3878,24410
26/07/2009,31555.8174,24114.8
27/07/2009,31134.847,24041.4
28/07/2009,30871.4766,25388.1
29/07/2009,31279.30619,28331.6
30/07/2009,33057.13579,29851.8
31/07/2009,36574.06539,31342.4
01/08/2009,40563.79499,33634.1
02/08/2009,43267.02459,35164.7
03/08/2009,44856.05419,34873.8
04/08/2009,45391.88379,34297.5
05/08/2009,45905.81338,34202.1
06/08/2009,46541.14298,34680.9
07/08/2009,47746.77258,35164.7
08/08/2009,50019.10218,35164.7
09/08/2009,52672.13178,35067.5
10/08/2009,54804.66138,34584.8
11/08/2009,55714.09098,34202.1
12/08/2009,55606.72058,33540.1
13/08/2009,54414.45017,33446.3
14/08/2009,52414.17977,33917.2
15/08/2009,50494.60937,37519.3
16/08/2009,49909.63897,38098.3
17/08/2009,51344.68148,40487.7
18/08/2009,55776.39527,47002.2
19/08/2009,62711.00906,49837.1
20/08/2009,69493.12284,47698.2
21/08/2009,72236.03663,49115.6
22/08/2009,69832.75042,51678.8
23/08/2009,64820.46421,50201.1
24/08/2009,60669.27799,49115.6
25/08/2009,58114.79178,48580.1
26/08/2009,56449.20557,48402.7
27/08/2009,54681.81936,48225.8
28/08/2009,53130.73314,47873.6
29/08/2009,51838.24693,47349.2
30/08/2009,50526.26072,45635.1
31/08/2009,49063.57451,44136.2
01/09/2009,47004.0883,41727.6
02/09/2009,44310.20208,39879.2
03/09/2009,42109.41587,38098.3
04/09/2009,40585.02966,34970.6
05/09/2009,39340.84345,33917.2
06/09/2009,38144.45723,31881.5
07/09/2009,36954.71405,30898.4
08/09/2009,35680.45644,29000
09/09/2009,34131.89882,27919.7
10/09/2009,32416.14121,27189.6
11/09/2009,30758.5836,25541.1
12/09/2009,29196.42598,25084.1
13/09/2009,27649.46837,24262
14/09/2009,26141.31076,24262
15/09/2009,24628.25314,23749.4
16/09/2009,23005.49553,23244.9
17/09/2009,21537.33792,22818.9
18/09/2009,20339.1803,22608
19/09/2009,19532.42269,22889.5
20/09/2009,19102.26507,23968.1
21/09/2009,18835.60746,25235.8
22/09/2009,18754.54985,25464.5
23/09/2009,19046.49223,24933.1
24/09/2009,20121.88752,24782.8
25/09/2009,22254.88233,26395
26/09/2009,25266.87715,27674.7
27/09/2009,27612.97196,28248.9
28/09/2009,28108.66677,27593.4
29/09/2009,27977.56159,26710.8
30/09/2009,27317.5564,25008.5
01/10/2009,26346.35122,24114.8
02/10/2009,25175.04603,23388.3
03/10/2009,23879.84084,22678.2
04/10/2009,22555.93566,21575.5
05/10/2009,21502.13047,20643.7
06/10/2009,20900.52528,19679
07/10/2009,20478.0201,18993.1
08/10/2009,20243.11491,18445.3
09/10/2009,20935.00972,25464.5
10/10/2009,23355.70454,28331.6
11/10/2009,27526.59935,26316.6
12/10/2009,31877.59417,25159.9
13/10/2009,34585.15739,24262
14/10/2009,34904.17858,24262
15/10/2009,33210.29977,25694.8
16/10/2009,31002.32096,25772
17/10/2009,28818.54216,25084.1
18/10/2009,26682.36335,23822.2
19/10/2009,24633.48454,22538.1
20/10/2009,22828.60573,21039.3
21/10/2009,21436.02692,19742.2
22/10/2009,20599.44812,18445.3
23/10/2009,20292.96931,17791.7
24/10/2009,20310.4905,17327.4
25/10/2009,20463.21169,16872.1
26/10/2009,20359.93289,16647.8
27/10/2009,19737.85408,16481
28/10/2009,18590.07527,15772.7
29/10/2009,17087.59646,15400.8
30/10/2009,15452.91765,14983.8
31/10/2009,13873.53885,14625.9
01/11/2009,12469.86004,14175
02/11/2009,11293.88123,13831.6
03/11/2009,10346.40242,13590.1
04/11/2009,9599.05872,13163.3
05/11/2009,9011.6011,12884.4
06/11/2009,8542.14349,12655.3
07/11/2009,8155.58588,12474.2
08/11/2009,7826.82826,12206.2
09/11/2009,7539.97065,12073.9
10/11/2009,7286.01304,11942.6
11/11/2009,7060.95542,11683.1
12/11/2009,6862.89781,11470.2
13/11/2009,6691.44019,11260.1
14/11/2009,6546.08258,11052.9
15/11/2009,6421.62497,10808
16/11/2009,6308.06735,10647
17/11/2009,6197.10974,10527.4
18/11/2009,6086.05213,10369.5
19/11/2009,5980.79451,10330.3
20/11/2009,5898.6369,10252.3
21/11/2009,5868.07301,10213.4
22/11/2009,5905.60728,10136
23/11/2009,5988.44155,10059.1
24/11/2009,6070.57583,10020.7
25/11/2009,6108.9101,11135.4
26/11/2009,6083.94437,11812.3
27/11/2009,6000.97864,11899
28/11/2009,5880.11291,11343.8
29/11/2009,5742.34719,10767.6
30/11/2009,5600.88146,10408.8
01/12/2009,5461.41573,10291.3
02/12/2009,5324.35,9944.4
03/12/2009,5187.98428,9793.1
04/12/2009,5050.01855,9495.6
05/12/2009,4909.35282,9422.3
06/12/2009,4783.06561,9313.1
07/12/2009,4663.20341,9169
08/12/2009,4547.84121,9097.6
09/12/2009,4441.27901,9026.5
